Radar_Id,Latitude,Longitude
KMBX,48.3930549621582,-100.86444091796875
KFFC,33.363548278808594,-84.56594848632812
KLRX,40.73955154418945,-116.80269622802734
KFDR,34.3621940612793,-98.97666931152344
KRIW,43.06608963012695,-108.47730255126953
KMUX,37.15522384643555,-121.89844512939453
KMTX,41.262779235839844,-112.4477767944336
KIND,39.70750045776367,-86.28028106689453
KTLX,35.3333625793457,-97.27776336669922
KVWX,38.260250091552734,-87.72452545166016
KMKX,42.967899322509766,-88.55066680908203
PACG,56.852779388427734,-135.52915954589844
KBGM,42.1996955871582,-75.98472595214844
KSFX,43.10559844970703,-112.6861343383789
KLIX,30.336666107177734,-89.8254165649414
PHMO,21.13277816772461,-157.18028259277344
KABX,35.149723052978516,-106.82389068603516
KGWX,33.896915435791016,-88.32919311523438
KPBZ,40.531715393066406,-80.21796417236328
KTYX,43.75569534301758,-75.67986297607422
KAKQ,36.98405075073242,-77.00736236572266
PHKI,21.893888473510742,-159.55250549316406
KILN,39.42048263549805,-83.82144927978516
KGGW,48.20635986328125,-106.62469482421875
KBUF,42.948787689208984,-78.73677825927734
KSHV,32.45083236694336,-93.84124755859375
KRTX,45.71503829956055,-122.96499633789062
KINX,36.17512893676758,-95.56416320800781
KJKL,37.5908317565918,-83.31305694580078
KSGF,37.23523712158203,-93.40042114257812
KGSP,34.883304595947266,-82.21983337402344
KEPZ,31.873056411743164,-106.697998046875
KMAF,31.94346046447754,-102.18924713134766
KLBB,33.65414047241211,-101.81416320800781
KRAX,35.66551971435547,-78.48975372314453
KBBX,39.49563980102539,-121.6316146850586
KDAX,38.5011100769043,-121.6778335571289
KEOX,31.460556030273438,-85.45938873291016
KCLE,41.41321563720703,-81.85986328125
KVTX,34.412017822265625,-119.17874908447266
KDVN,41.61166763305664,-90.5808334350586
KLZK,34.83649826049805,-92.26219177246094
KRLX,38.31111145019531,-81.7227783203125
KEAX,38.81024932861328,-94.26447296142578
KEMX,31.89365005493164,-110.6302490234375
KFSX,34.57433319091797,-111.19844818115234
KVNX,36.74061584472656,-98.12771606445312
ROP4,35.23833465576172,-97.45999908447266
KMQT,46.53111267089844,-87.54833221435547
KAPX,44.906349182128906,-84.71953582763672
KBRO,25.916000366210938,-97.4189682006836
KLTX,33.98915100097656,-78.42910766601562
KMHX,34.775909423828125,-76.87619018554688
KDIX,39.94709014892578,-74.41072845458984
KHGX,29.471900939941406,-95.0787353515625
KCRP,27.78401756286621,-97.5112533569336
KPUX,38.45954895019531,-104.18135070800781
KABR,45.455833435058594,-98.413330078125
RKSG,37.20756912231445,127.28556060791016
KLVX,37.975276947021484,-85.94388580322266
KYUX,32.49528121948242,-114.65670776367188
KBMX,33.17241668701172,-86.7701644897461
PGUA,13.455833435058594,144.8111114501953
KIWX,41.358612060546875,-85.69999694824219
KFCX,37.02439880371094,-80.27397155761719
KILX,40.1505012512207,-89.3367919921875
KICX,37.59104919433594,-112.8621826171875
KARX,43.822776794433594,-91.19110870361328
KGRR,42.893890380859375,-85.54489135742188
KBOX,41.95577621459961,-71.1368637084961
KDGX,32.279945373535156,-89.98444366455078
PAEC,64.51139068603516,-165.2949981689453
KNKX,32.91901779174805,-117.04180145263672
KFSD,43.58777618408203,-96.72944641113281
KBHX,40.49858474731445,-124.29216766357422
KMRX,36.168609619140625,-83.40194702148438
KCBX,43.49021530151367,-116.23603057861328
KMAX,42.08116912841797,-122.71736907958984
KEWX,29.704055786132812,-98.02861022949219
KCBW,46.039249420166016,-67.80642700195312
KPOE,31.155277252197266,-92.97611236572266
PAIH,59.46076583862305,-146.30345153808594
KFWS,32.573001861572266,-97.30314636230469
KSRX,35.2904167175293,-94.36189270019531
PABC,60.79194259643555,-161.8763885498047
PAHG,60.725914001464844,-151.35147094726562
KTLH,30.3975830078125,-84.32894134521484
KHTX,34.93055725097656,-86.08361053466797
KSJT,31.37127685546875,-100.49250030517578
KGRB,44.498634338378906,-88.11111450195312
KVBX,34.83855056762695,-120.39791870117188
FOP1,35.23833465576172,-97.45999908447266
KJAX,30.48463249206543,-81.70189666748047
KVAX,30.890277862548828,-83.0018081665039
RODN,26.30780029296875,127.90347290039062
PHKM,20.12527847290039,-155.77777099609375
KENX,42.58655548095703,-74.0640869140625
KLNX,41.957942962646484,-100.57622528076172
KDDC,37.760833740234375,-99.96888732910156
KMOB,30.679445266723633,-88.23999786376953
KGRK,30.721834182739258,-97.38294219970703
KEVX,30.565032958984375,-85.92166900634766
KLSX,38.698612213134766,-90.68277740478516
KATX,48.194610595703125,-122.49569702148438
KGLD,39.366943359375,-101.70027923583984
KLOT,41.60444259643555,-88.08444213867188
KNQA,35.344722747802734,-89.87333679199219
KDFX,29.27313804626465,-100.28033447265625
KOKX,40.86552810668945,-72.8639144897461
KDTX,42.70000076293945,-83.47166442871094
KHDX,33.07699966430664,-106.12003326416016
KLWX,38.976112365722656,-77.48750305175781
KTWX,38.9969482421875,-96.23255157470703
RKJK,35.92416763305664,126.62222290039062
KAMX,25.611083984375,-80.41266632080078
KDYX,32.53850173950195,-99.25433349609375
KLGX,47.116943359375,-124.1066665649414
KDOX,38.825767517089844,-75.44011688232422
KAMA,35.233333587646484,-101.70927429199219
KHNX,36.31418228149414,-119.63214111328125
PHWA,19.094999313354492,-155.5688934326172
KMSX,47.04100036621094,-113.98622131347656
KIWA,33.28923416137695,-111.66991424560547
KPAH,37.06833267211914,-88.77194213867188
KLCH,30.12530517578125,-93.21588897705078
KTFX,47.4595832824707,-111.38533020019531
KCAE,33.94872283935547,-81.11827850341797
TJUA,18.11566734313965,-66.07816314697266
KGJX,39.06216812133789,-108.21376037597656
KESX,35.701351165771484,-114.89164733886719
KOAX,41.320369720458984,-96.3668212890625
KFDX,34.6341667175293,-103.61888885498047
KGYX,43.89130401611328,-70.25636291503906
KCYS,41.151920318603516,-104.8060302734375
KICT,37.65444564819336,-97.44305419921875
KPDT,45.690650939941406,-118.8529281616211
KBIS,46.77083206176758,-100.76055908203125
KUDX,44.12472152709961,-102.83000183105469
KMPX,44.8488883972168,-93.5655288696289
KJGX,32.675682067871094,-83.350830078125
KHPX,36.73697280883789,-87.28558349609375
KBLX,45.85377883911133,-108.60680389404297
PAKC,58.679443359375,-156.6294403076172
KOTX,47.680416107177734,-117.62677764892578
KMVX,47.52777862548828,-97.32555389404297
KUEX,40.32083511352539,-98.44194793701172
KOHX,36.247222900390625,-86.5625
KCXX,44.51100158691406,-73.16642761230469
PAPD,65.03511047363281,-147.50143432617188
KEYX,35.09785079956055,-117.56075286865234
KMXX,32.536651611328125,-85.78974914550781
KTBW,27.70549964904785,-82.40177917480469
KRGX,39.75405502319336,-119.46202850341797
KBYX,24.59749984741211,-81.70316314697266
KCCX,40.92316818237305,-78.00372314453125
KSOX,33.81773376464844,-117.63600158691406
KDLH,46.836944580078125,-92.20972442626953
